time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-21T20:17:56.150Z,33.2691667,-115.5728333,13.49,1.15,ml,8,307,0.0954,0.12,ci,ci37667600,2016-08-21T20:21:38.284Z,"6km WNW of Niland, CA",earthquake,1.01,1.17,0.426,10,automatic,ci,ci
2016-08-21T20:13:17.440Z,33.1658333,-115.631,3.71,1.55,ml,16,62,0.01734,0.13,ci,ci37667592,2016-08-21T20:17:01.212Z,"12km WNW of Calipatria, CA",earthquake,0.32,0.27,0.189,29,automatic,ci,ci
2016-08-21T20:09:17.920Z,33.159832,-115.635498,7.1,3.04,ml,82,41,0.02422,0.25,ci,ci37667584,2016-08-21T20:20:34.950Z,"12km WNW of Calipatria, CA",earthquake,0.23,0.53,0.393,22,automatic,ci,ci
2016-08-21T20:07:09.820Z,33.1635,-115.6325,4.11,1.48,ml,15,73,0.01985,0.15,ci,ci37667576,2016-08-21T20:10:54.913Z,"12km WNW of Calipatria, CA",earthquake,0.31,0.52,0.268,29,automatic,ci,ci
2016-08-21T20:06:20.650Z,33.2188333,-116.0118333,22.98,1.85,ml,5,151,0.3283,0.2,ci,ci37667560,2016-08-21T20:09:54.200Z,"10km SSW of Salton City, CA",earthquake,2.49,14.23,0.428,9,automatic,ci,ci
2016-08-21T20:02:23.740Z,33.1641667,-115.633,3.51,1.58,ml,19,77,0.0197,0.17,ci,ci37667552,2016-08-21T20:06:15.820Z,"12km WNW of Calipatria, CA",earthquake,0.42,0.36,0.174,28,automatic,ci,ci
2016-08-21T19:49:20.560Z,35.9593333,-117.6586667,2.84,2.05,ml,23,48,0.01324,0.16,ci,ci37667520,2016-08-21T20:00:20.840Z,"22km E of Little Lake, CA",earthquake,0.24,0.31,0.202,25,automatic,ci,ci
2016-08-21T19:44:20.000Z,62.5305,-150.9062,80,1.3,ml,,,,0.52,ak,ak13865472,2016-08-21T20:04:13.100Z,"47km WNW of Talkeetna, Alaska",earthquake,1.2,1.8,,,automatic,ak,ak
2016-08-21T19:36:29.000Z,18.9962,-65.2064,25,2.3,Md,5,273.6,0.68361793,0.21,pr,pr16234010,2016-08-21T23:23:43.402Z,"77km N of Culebra, Puerto Rico",earthquake,2.2,18.9,0,3,reviewed,pr,pr
2016-08-21T18:40:41.157Z,38.3414,-115.8764,1.2,1.8,ml,12,112.96,0.229,0.11,nn,nn00556998,2016-08-21T18:55:57.621Z,"46km ENE of Warm Springs, Nevada",earthquake,,4,0.39,4,reviewed,nn,nn
2016-08-21T18:26:44.000Z,61.3828,-147.3996,15,1.9,ml,,,,0.69,ak,ak13865082,2016-08-21T18:35:22.950Z,"63km WNW of Valdez, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-08-21T18:26:14.120Z,33.2375,-116.091,3.04,1.3,ml,46,47,0.1438,0.24,ci,ci37667480,2016-08-21T18:37:23.470Z,"11km NNE of Ocotillo Wells, CA",earthquake,0.27,0.82,0.139,26,automatic,ci,ci
2016-08-21T18:20:41.860Z,33.2715,-116.108,1.29,1.94,ml,63,30,0.1454,0.21,ci,ci37667472,2016-08-21T18:31:16.870Z,"14km N of Ocotillo Wells, CA",earthquake,0.21,0.76,0.189,27,automatic,ci,ci
2016-08-21T17:51:06.480Z,33.8156667,-117.0493333,8.97,1.2,ml,10,130,0.1668,0.21,ci,ci37667448,2016-08-21T17:54:45.761Z,"9km NNE of Green Acres, CA",earthquake,1.14,31.61,0.332,17,automatic,ci,ci
2016-08-21T17:48:23.000Z,62.833,-148.9752,50,2.5,ml,,,,0.59,ak,ak13864689,2016-08-21T18:09:41.732Z,"62km S of Cantwell, Alaska",earthquake,0.2,0.6,,,automatic,ak,ak
2016-08-21T17:27:18.580Z,35.9568333,-117.6615,2.7,1.65,ml,22,47,0.01268,0.17,ci,ci37667416,2016-08-21T17:38:10.720Z,"22km E of Little Lake, CA",earthquake,0.26,0.33,0.188,26,automatic,ci,ci
2016-08-21T17:25:10.500Z,19.2933,-64.918,12,2.8,Md,3,306,0.96568893,0.17,pr,pr16234009,2016-08-21T20:42:11.116Z,"102km NNW of Road Town, British Virgin Islands",earthquake,6.7,9.2,0,2,reviewed,pr,pr
2016-08-21T17:19:37.000Z,60.3296,-141.2161,15,1.5,ml,,,,0.59,ak,ak13864687,2016-08-21T17:29:45.101Z,"73km ENE of Cape Yakataga, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-08-21T16:50:25.960Z,33.4713333,-116.4693333,12.14,1.11,ml,38,77,0.06345,0.17,ci,ci37667384,2016-08-21T17:00:58.150Z,"21km ESE of Anza, CA",earthquake,0.24,0.45,0.174,27,automatic,ci,ci
2016-08-21T16:35:36.470Z,-23.9638,-67.331,186.81,4.2,mb,,54,1.273,0.64,us,us10006fle,2016-08-21T19:04:05.040Z,"106km WNW of San Antonio de los Cobres, Argentina",earthquake,3.2,12.1,0.236,5,reviewed,us,us
2016-08-21T16:02:00.210Z,33.936,-117.9351667,6.87,1.45,ml,36,85,0.01335,0.26,ci,ci37667336,2016-08-21T16:06:23.319Z,"1km ENE of La Habra, CA",earthquake,0.4,0.68,0.17,27,automatic,ci,ci
2016-08-21T15:58:46.070Z,36.4632,-98.6923,6.52,2.5,mb_lg,,53,0.024,0.46,us,us10006fla,2016-08-21T21:03:09.607Z,"28km NW of Fairview, Oklahoma",earthquake,2,5.1,0.102,25,reviewed,us,us
2016-08-21T15:45:08.000Z,59.8984,-150.5329,50,2.4,ml,,,,0.95,ak,ak13864296,2016-08-21T15:57:36.188Z,"46km ENE of Fritz Creek, Alaska",earthquake,0.8,1.2,,,automatic,ak,ak
2016-08-21T15:39:38.984Z,38.3105,-118.4923,7.3,1,ml,12,97.87,0.06,0.1182,nn,nn00556979,2016-08-21T16:07:37.994Z,"26km SSE of Hawthorne, Nevada",earthquake,,1.7,0.24,5,reviewed,nn,nn
2016-08-21T15:32:57.030Z,-17.7203,-178.5915,519.83,4.5,mb,,41,3.198,0.92,us,us10006fl7,2016-08-21T18:05:56.040Z,"259km SE of Lambasa, Fiji",earthquake,11.5,6.4,0.035,238,reviewed,us,us
2016-08-21T15:24:37.300Z,19.8208,-65.6676,45,2.4,Md,3,320.4,1.54779723,0.18,pr,pr16234008,2016-08-21T20:06:10.957Z,"155km N of Loiza, Puerto Rico",earthquake,3.1,17.8,0,1,reviewed,pr,pr
2016-08-21T15:18:59.000Z,65.5077,-143.3837,10,1.1,ml,,,,0.14,ak,ak13864293,2016-08-21T15:36:56.927Z,"47km SE of Circle, Alaska",earthquake,0.7,0.6,,,automatic,ak,ak
2016-08-21T14:55:17.580Z,18.4745,145.5749,204.93,5.1,mb,,20,3.222,0.69,us,us10006fl5,2016-08-21T16:51:26.040Z,"33km SSW of Agrihan, Northern Mariana Islands",earthquake,7.3,4.5,0.032,307,reviewed,us,us
2016-08-21T14:50:02.131Z,38.2682,-118.7435,10.2,1,ml,19,83.09,0.188,0.1395,nn,nn00556973,2016-08-21T15:33:20.716Z,"30km SSW of Hawthorne, Nevada",earthquake,,1.5,0.46,6,reviewed,nn,nn
2016-08-21T14:42:33.000Z,61.9634,-143.6682,6.8,1.7,ml,,,,0.21,ak,ak13863901,2016-08-21T22:13:57.053Z,"64km NE of Chitina, Alaska",earthquake,0.7,0.7,,,reviewed,ak,ak
2016-08-21T14:42:05.000Z,61.9598,-143.7178,5,1.5,ml,,,,0.08,ak,ak13863899,2016-08-21T14:54:49.491Z,"62km NE of Chitina, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-08-21T14:19:31.614Z,36.8537,-113.6227,16.9,1.7,ml,8,179.14,0.342,0.2373,nn,nn00556969,2016-08-21T14:50:12.083Z,"27km E of Littlefield, Arizona",earthquake,,2.3,0.2,6,reviewed,nn,nn
2016-08-21T14:18:41.971Z,38.3252,-115.8878,2.6,1.4,ml,9,187.22,0.239,0.1044,nn,nn00556968,2016-08-21T14:40:32.180Z,"44km ENE of Warm Springs, Nevada",earthquake,,4.3,0.79,6,reviewed,nn,nn
